question_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
01c138c6772d4dfda5bdd83a8fad7ed7,4,4,1,4,2,0,0,2,5,0,0,5,1,0,0,4,5,1,3,0,1,4
02326f6b5cb94ec39770b90494192337,2,4,0,4,0,0,0,2,5,0,0,5,0,0,0,4,5,1,3,0,2,4
02fd0ce9543e4229887fca55f92db874,0,4,0,4,0,0,0,4,5,0,0,5,0,0,0,4,5,5,3,0,5,4
038612c84ad24d0e974ccd93f15a0aac,3,4,2,4,3,0,0,3,5,0,2,5,2,0,3,4,5,1,3,0,2,4
040d0028aca94782bed8ea599fb946e7,4,4,0,4,0,0,0,2,5,0,0,5,1,0,0,4,5,1,3,0,1,4
0513491ea53545f4a27f3b74b3f2b70d,0,4,0,4,0,0,0,0,5,0,0,5,0,0,0,0,5,4,3,0,5,4
059a04f5dcb447819032df35cbbcf158,4,4,1,4,0,0,0,4,5,0,0,4,1,0,0,4,5,1,4,0,1,4
0724e6e2022c4ca18bbb97937bd8ee47,4,4,1,4,0,0,0,2,5,0,0,5,1,0,0,4,5,1,4,2,2,4
0773da81b90c4516a25c27591f5b67f8,0,4,0,4,0,0,0,0,5,0,0,5,0,0,0,4,5,5,4,0,5,4
08b7e35684e242a28b1b6fd1202e2c1b,4,4,1,4,0,0,0,2,5,0,0,4,2,0,0,4,5,5,3,0,2,4
08f7f1b1edcb493ea1dcf041cac33c8e,4,4,1,4,2,0,0,2,5,0,0,4,1,0,0,4,5,1,4,2,2,4
0910df5fcb0a41c4afa67696c7524fe8,0,4,0,4,0,0,0,4,5,0,0,5,0,0,0,4,5,1,4,0,1,4
09994bd8ef664a0590e38ac8281d0b76,4,4,1,4,0,0,0,2,5,0,0,4,1,0,0,4,4,5,4,0,1,4
0a6c0c353dbf457897685c380971a16e,2,4,1,4,0,0,0,2,5,0,0,4,1,0,0,4,4,5,4,0,1,4
0ab59f40fd624356b0d3497f5f7498b5,2,4,1,4,0,0,0,2,5,0,0,4,1,0,0,4,5,1,4,0,1,4
0e062b9b89084185a730fdc97cdaedf4,2,4,1,4,0,0,0,3,5,0,0,4,1,0,0,4,5,1,3,0,1,4
0e2e6aca93ff4cbfb8bd4077f76f1cca,0,4,0,4,0,0,0,0,5,0,0,5,0,0,0,0,5,5,3,0,5,4
0f31bb14c65048a2975de51614879e2f,4,4,1,4,4,0,0,4,5,0,0,5,0,0,4,4,5,1,4,0,1,4
10a20dfe340c4ae49cb25df7aacb6fc3,4,4,1,4,0,0,0,4,5,0,0,5,2,0,0,4,5,5,3,0,2,4
12c7b514d2c34a9fb1cf7ab2705edeb8,4,4,1,4,0,0,0,2,5,0,0,4,0,0,0,4,5,1,4,0,1,4
13977ad5424c45e89bb67f591de050f0,4,4,1,4,2,0,0,2,5,0,0,5,1,0,0,4,5,1,4,0,1,4
1437f1d11a0a46d48f970d55f5d22e64,2,4,1,4,0,0,0,2,5,0,0,4,1,0,0,4,4,1,3,0,1,4
16b26197d3b24fff861d1f57097a79e3,4,4,0,4,0,0,0,2,5,0,0,5,1,0,0,4,5,1,3,0,5,4
17fce5ba684c44a4a99a23f0bfce90aa,2,4,1,4,0,0,0,2,5,0,0,4,1,0,0,2,4,1,3,0,2,4
180c25f6f4f1433c855d57fe7cf433d1,4,4,1,4,2,0,0,2,5,0,0,4,1,0,0,4,5,1,4,0,1,4
1896fbb1ebf34a9a8cd56216532469b9,2,4,1,4,2,0,0,2,5,0,0,4,1,0,0,4,4,1,4,2,1,4
190ffd85f0a1425b90c5da2cc9f7b6a9,0,4,0,4,0,0,0,0,5,0,0,5,0,0,0,4,5,4,3,0,5,4
192e25a94bfa42e8b51762c2888b7364,2,4,0,4,0,0,0,2,5,0,0,5,1,0,0,4,5,1,3,0,1,4
1ab1656d79ad48619355075a572db934,4,4,2,4,0,0,0,2,5,0,0,5,2,0,0,4,5,2,3,0,5,4
1acd296cbb9a4c80881bdeee638d282b,4,4,0,4,0,0,0,3,5,0,0,5,0,0,0,4,5,0,3,0,2,4
1b22887ca1994874ac7cde201bab8198,4,4,0,4,0,0,0,0,5,0,0,5,1,0,0,0,5,1,4,0,5,4
1cf5b0da1c0143d39c41b65e48bc9fb7,0,4,0,4,0,0,0,0,5,0,0,5,0,0,0,4,5,5,0,0,5,4
1d0978684c9b4a368a57b3e4941c5f6c,0,4,0,4,0,0,0,0,5,0,0,5,0,0,0,4,5,5,0,0,5,4
1e02b8d766d6456188e3f032e82f66bd,4,4,0,4,0,0,0,2,5,0,0,5,1,0,0,4,5,1,3,0,5,4
1e099155885c4d318754de1ce2321a60,0,5,0,4,0,0,0,0,5,0,0,5,0,0,0,4,5,5,0,0,5,4
1f027fe3d1d84a9dbd34c4dcc089a53a,4,4,1,4,2,0,0,2,5,0,0,4,1,0,0,4,5,4,3,2,1,4
1fbc4ce4e7ed460986e7e4ca049b1930,4,4,0,4,0,0,0,0,5,0,0,5,0,0,0,4,5,4,3,0,1,4
21536adeb68b4917a00e8d81a2edbc8d,4,4,1,4,4,0,0,4,5,0,0,5,1,0,0,4,5,1,3,2,1,4
220fd7fba9784b09b956a2d386ada3a7,0,3,5,5,0,0,0,0,5,0,0,5,5,0,0,0,5,5,0,0,5,5
224c0f3b7d714dc1be79762b9d6e562d,4,4,1,4,2,0,0,2,5,0,0,5,1,0,0,4,4,1,4,0,1,4
2275746b725245c98c097908f2f7dd80,4,4,0,4,0,0,0,2,5,0,0,5,0,0,0,4,5,1,3,0,2,4
24028b87b50d4ec491c9717592c56032,0,4,0,4,0,0,0,0,5,0,0,5,0,0,0,0,5,5,0,0,5,4
256a7181a03141cb9a3027ad1594b8df,4,4,1,4,1,0,0,2,5,0,0,5,1,0,0,4,5,1,4,0,1,4
26e957f3fcea40ce862d4ce718c0f211,4,4,1,4,0,0,0,0,5,0,0,5,1,0,0,4,5,5,3,0,1,4
2822ab217e014d03aa69a5b57bcd6cc8,4,4,1,4,0,0,0,0,5,0,0,4,1,0,0,4,4,1,4,0,1,4
288b4de853324137b66d25d51a5219be,4,4,1,4,0,0,0,4,5,0,0,5,0,0,0,4,5,4,3,0,1,4
29f1751ef5cb44c09b63c8c1a0afe07c,4,4,2,4,2,0,0,2,5,0,0,5,2,0,0,4,5,1,3,2,2,4
2a3512ddb853427f97988a6f4bd6498b,4,4,1,4,4,0,0,4,5,0,0,4,1,0,0,4,5,1,4,0,1,4
2abaaceb1277436d86b498ee60ca04d3,4,4,1,4,2,0,0,2,5,0,0,4,1,0,0,4,5,1,4,0,1,4
2bea787493e041178b008247559a40ff,4,4,0,4,2,0,0,3,5,0,0,5,0,0,1,4,5,1,4,0,2,4
2cced3eca6d945f0b2634023b1a0d9eb,4,4,1,4,0,0,0,3,5,0,0,5,0,0,0,4,5,1,3,0,2,4
2cd3af3dcb0445b3889d2a6744be6ed8,0,4,0,4,0,0,0,0,5,0,0,5,2,0,0,0,5,5,3,0,5,4
