persona_id,1,2,3,4,5,6,7,8
282,1,5,1,3,3,3,1,1
2855,1,5,1,3,3,3,1,1
2948,1,5,1,3,3,3,1,1
3912,1,5,1,3,3,3,2,1
5030,1,5,1,3,3,3,1,1
5280,1,5,1,3,3,1,2,1
5312,3,3,3,3,3,3,3,1
5514,1,5,1,3,3,3,1,1
5686,1,5,1,3,3,3,3,1
6851,1,5,1,3,3,3,3,1
7086,3,5,1,3,3,3,3,1
8257,1,5,1,3,3,3,1,1
8864,1,5,1,3,3,3,1,1
8927,1,5,1,3,3,3,1,1
10169,2,5,1,3,3,3,1,1
10219,1,5,1,3,3,3,1,1
10648,1,5,3,3,3,3,1,1
11938,1,5,1,3,3,3,3,1
14464,1,5,1,1,1,1,5,1
14557,1,5,1,3,3,3,1,1
14854,1,5,1,3,3,3,1,1
15010,1,5,1,1,3,3,1,1
16216,1,5,1,1,3,3,3,1
16589,1,3,1,3,3,3,3,1
17412,1,5,1,3,3,3,1,1
17784,1,5,1,3,3,3,2,1
18323,1,5,1,3,3,3,1,1
18474,1,5,1,3,3,3,2,1
19067,1,5,1,3,3,3,2,1
19776,1,5,1,1,3,3,1,1
20359,1,5,3,3,3,3,1,1
20529,1,5,1,3,3,1,1,1
20860,1,5,1,3,3,3,1,1
21427,1,5,3,3,3,3,1,1
22745,2,3,3,3,3,3,1,1
23193,1,5,1,3,3,3,1,1
23512,3,5,1,3,3,3,3,1
24776,1,5,1,1,3,3,1,1
25818,1,5,1,3,3,3,1,1
28600,1,5,1,3,3,3,1,1
28692,1,5,1,3,3,3,1,1
30625,1,5,1,3,3,3,3,1
30973,1,5,1,3,3,3,1,1
32146,1,5,1,3,3,3,2,1
32281,1,5,1,3,3,3,2,1
32302,1,5,1,1,3,1,1,1
33110,1,5,3,3,3,3,1,1
33429,1,5,3,3,3,3,1,1
34126,1,5,1,3,3,3,3,1
35074,1,5,1,3,3,3,2,1
35440,2,5,1,3,3,3,1,1
37306,1,5,1,3,3,3,1,1
38004,1,5,1,3,3,3,2,1
38324,1,5,1,3,3,3,2,1
38405,2,4,1,3,3,3,1,2
40500,3,3,3,3,3,3,3,3
41140,2,5,1,3,3,3,1,1
43244,3,5,1,3,3,3,3,1
43526,1,5,1,3,3,3,1,1
44957,1,5,1,1,3,3,1,1
44963,1,5,1,3,3,3,3,1
45423,1,5,1,3,4,3,1,1
45856,3,5,1,3,3,3,3,1
46591,1,5,1,3,3,3,1,1
46790,1,5,1,3,3,3,1,1
47369,1,5,1,3,3,3,3,1
48405,1,5,1,3,3,3,3,1
48545,1,5,1,3,4,3,1,1
50492,1,5,1,3,3,3,1,1
50747,1,1,1,3,5,5,1,1
50839,1,5,1,3,3,3,1,1
51881,1,5,1,3,3,3,1,1
52313,1,5,1,3,3,3,1,1
52497,1,5,1,3,3,3,2,1
53252,1,5,1,3,3,3,3,1
54658,1,5,3,3,3,3,2,1
56726,1,5,1,3,3,3,1,1
56808,1,5,1,1,3,3,2,1
57829,2,3,2,3,3,3,1,1
58267,3,5,1,3,3,3,1,1
58290,1,5,1,3,3,3,1,1
58412,1,5,3,3,3,3,3,1
58838,1,5,1,3,3,3,1,1
59059,1,5,1,3,3,3,1,1
60046,1,5,3,3,3,1,3,1
61007,1,5,1,3,3,3,1,1
61594,1,5,1,3,3,3,3,1
62283,1,5,3,3,3,3,1,1
62555,1,5,1,3,3,3,3,1
63796,1,5,3,3,3,3,1,1
63866,1,5,1,3,3,3,1,1
64924,1,5,1,1,3,3,3,1
65237,1,5,1,3,3,3,2,1
65380,3,5,3,3,3,3,3,3
65648,1,5,1,3,3,3,1,1
65835,2,5,1,3,3,3,1,1
65917,1,5,1,1,3,3,3,1
66045,1,5,1,1,2,1,5,1
66750,3,5,3,3,3,3,2,1
67977,1,5,1,3,3,3,3,1
68097,1,5,1,3,3,3,2,1
68833,1,5,1,3,3,3,1,1
69531,1,5,1,3,3,3,1,1
69851,1,5,1,1,3,3,3,1
69956,1,5,1,1,3,4,1,1
71245,1,5,1,3,3,3,3,1
71337,1,5,3,3,3,3,3,1
71674,3,5,1,3,3,3,2,1
71967,1,5,1,3,3,3,3,1
75220,1,5,1,3,3,3,1,1
75626,1,5,1,3,4,3,1,1
75859,3,5,3,3,3,3,1,1
76421,1,5,1,1,3,1,5,1
76660,1,5,1,1,3,3,2,1
77188,1,5,1,2,3,1,3,1
77440,2,3,2,3,3,3,2,2
77493,1,5,1,1,3,3,1,1
78152,1,5,1,3,3,3,1,1
78625,1,5,1,3,3,1,1,1
79218,3,5,1,3,3,3,1,1
79513,1,5,1,3,3,3,1,1
79628,1,5,1,3,3,3,1,1
79990,1,5,1,1,3,1,3,1
81383,1,5,1,3,3,3,1,1
81674,1,1,1,3,3,3,1,1
81777,1,5,1,3,3,3,3,1
82166,1,5,1,3,3,3,1,1
82569,1,5,1,3,3,3,1,1
83090,1,5,1,1,2,1,1,1
83215,1,5,1,3,3,3,1,1
83380,1,5,1,3,3,3,1,1
85049,2,4,3,3,3,3,1,1
85519,1,5,1,1,2,1,1,1
86879,1,5,1,3,3,3,3,1
87201,3,3,3,3,3,3,3,3
87232,1,5,1,3,3,3,1,1
87283,2,5,1,3,3,3,1,1
87863,1,5,1,3,3,3,1,1
88247,2,5,1,3,3,3,2,1
88716,1,5,1,3,3,3,1,1
89604,1,5,1,3,3,3,1,1
89643,1,5,1,1,3,3,1,1
90066,1,5,1,3,3,3,1,1
90923,1,5,1,3,3,3,1,1
91035,1,3,1,3,3,3,1,1
91223,1,5,1,3,3,3,1,1
91241,1,5,1,3,3,3,3,1
92194,1,5,1,3,3,3,1,1
92902,1,5,1,3,3,3,2,1
92952,3,5,1,3,3,3,1,1
94032,1,5,1,3,3,3,2,1
95430,3,5,1,3,3,3,2,1
95807,1,5,1,3,3,3,2,1
96050,1,5,1,3,3,3,3,1
96201,1,3,1,1,3,4,1,1
97009,1,5,1,3,3,3,1,1
97477,1,5,1,3,3,3,1,1
98400,1,5,1,1,1,1,1,1
99045,1,5,1,3,3,3,1,1
102060,1,5,1,3,3,3,1,1
102387,1,5,3,3,3,3,3,1
102860,2,5,1,3,3,3,1,1
104167,1,5,1,3,3,3,1,1
104799,1,5,1,3,3,3,3,1
104815,2,3,1,3,3,3,1,1
106753,1,5,1,3,3,3,1,1
108152,2,5,1,3,3,3,1,1
108437,2,5,1,3,3,3,1,1
108473,2,3,1,3,3,3,1,1
108966,2,5,1,3,3,3,2,1
109216,1,5,1,1,3,3,1,1
111837,2,5,1,3,3,3,1,1
112277,1,5,1,3,3,3,1,1
113494,1,5,1,3,3,3,1,1
114157,1,5,1,3,3,3,3,1
114830,1,5,1,3,3,3,1,1
117082,3,5,1,3,3,3,2,1
117495,1,5,1,1,3,4,2,1
118017,3,5,3,3,3,3,2,3
118048,1,5,1,3,3,3,1,1
119498,1,5,1,1,3,3,1,1
123204,2,5,1,3,3,3,1,1
124991,2,5,1,3,3,3,1,1
125723,1,5,1,3,3,3,1,1
125823,1,5,1,3,3,3,1,1
126701,1,5,3,3,3,3,3,1
126960,1,5,1,1,1,1,5,1
127472,2,5,1,3,3,3,1,1
128466,1,5,3,3,3,3,1,1
128684,1,5,1,3,3,3,1,1
128983,2,5,1,3,3,3,2,1
129024,1,5,3,3,3,3,3,1
129668,1,5,3,3,3,3,1,1
130858,1,5,1,3,3,3,3,1
131658,3,5,1,3,3,3,2,1
133283,2,3,1,3,3,3,1,1
133765,1,5,1,3,3,3,3,1
133784,1,3,3,3,3,3,1,1
134476,1,5,1,1,3,4,1,1
135086,1,5,1,3,3,3,1,1
135608,1,5,1,3,3,3,1,1
136355,1,5,3,3,3,3,1,1
136776,1,5,1,3,3,3,1,1
138366,1,5,1,3,3,3,1,1
138518,1,5,1,3,3,3,1,1
139222,1,5,1,3,3,3,1,1
140074,2,5,1,3,3,3,1,1
140363,1,5,1,3,3,3,1,1
141480,3,5,1,3,3,3,3,1
141687,1,5,1,3,3,3,1,1
141833,1,5,1,1,3,3,1,1
